( 1 ,  -1 ,  0  )
( -1 ,  -46 ,  47  )
( -2 ,  -46 ,  48  )
( -3 ,  -46 ,  49  )
( -4 ,  -46 ,  50  )
( -5 ,  -46 ,  51  )
( -6 ,  -46 ,  52  )
( -7 ,  -46 ,  53  )
( -8 ,  -45 ,  53  )
( -8 ,  -44 ,  52  )
( -9 ,  -43 ,  52  )
( -8 ,  -43 ,  51  )
( -9 ,  -43 ,  52  )
( -10 ,  -43 ,  53  )
( -11 ,  -43 ,  54  )
( -12 ,  -43 ,  55  )
( -13 ,  -43 ,  56  )
( -14 ,  -42 ,  56  )
( -15 ,  -42 ,  57  )
( -15 ,  -41 ,  56  )
( -14 ,  -41 ,  55  )
( -15 ,  -40 ,  55  )
( -16 ,  -40 ,  56  )
( -17 ,  -40 ,  57  )
( -18 ,  -40 ,  58  )
( -19 ,  -40 ,  59  )
( -20 ,  -39 ,  59  )
( -21 ,  -38 ,  59  )
( -22 ,  -38 ,  60  )
( -22 ,  -37 ,  59  )
( -23 ,  -37 ,  60  )
( -23 ,  -36 ,  59  )
( -23 ,  -35 ,  58  )
( -24 ,  -34 ,  58  )
( -25 ,  -34 ,  59  )
( -26 ,  -33 ,  59  )
( -27 ,  -33 ,  60  )
( -28 ,  -32 ,  60  )
( -28 ,  -31 ,  59  )
( -29 ,  -30 ,  59  )
( -28 ,  -31 ,  59  )
( -29 ,  -30 ,  59  )
( -29 ,  -29 ,  58  )
( -28 ,  -29 ,  57  )
( -29 ,  -29 ,  58  )
( -30 ,  -28 ,  58  )
( -31 ,  -27 ,  58  )
( -32 ,  -26 ,  58  )
( -33 ,  -26 ,  59  )
( -34 ,  -25 ,  59  )
( -35 ,  -24 ,  59  )
( -35 ,  -25 ,  60  )
( -36 ,  -24 ,  60  )
( -37 ,  -23 ,  60  )
( -38 ,  -23 ,  61  )
( -39 ,  -22 ,  61  )
( -38 ,  -22 ,  60  )
( -39 ,  -21 ,  60  )
( -40 ,  -21 ,  61  )
( -41 ,  -20 ,  61  )
( -42 ,  -19 ,  61  )
( -43 ,  -18 ,  61  )
( -44 ,  -17 ,  61  )
( -45 ,  -16 ,  61  )
( -46 ,  -15 ,  61  )
( -47 ,  -14 ,  61  )
( -48 ,  -13 ,  61  )
( -49 ,  -12 ,  61  )
( -50 ,  -11 ,  61  )
( -49 ,  -11 ,  60  )
( -50 ,  -10 ,  60  )
( -51 ,  -10 ,  61  )
( -52 ,  -9 ,  61  )
( -53 ,  -8 ,  61  )
( -54 ,  -7 ,  61  )
( -55 ,  -6 ,  61  )
( -54 ,  -6 ,  60  )
( -54 ,  -7 ,  61  )
( -55 ,  -6 ,  61  )
( -56 ,  -5 ,  61  )
( -57 ,  -4 ,  61  )
( -58 ,  -3 ,  61  )
( -59 ,  -2 ,  61  )
( -60 ,  -1 ,  61  )
( -60 ,  0 ,  60  )
( -61 ,  1 ,  60  )
( -60 ,  0 ,  60  )
( -61 ,  1 ,  60  )
( -62 ,  1 ,  61  )
( -61 ,  1 ,  60  )
( -62 ,  2 ,  60  )
( -63 ,  3 ,  60  )
( -64 ,  4 ,  60  )
( -65 ,  5 ,  60  )
( -65 ,  6 ,  59  )
( -65 ,  7 ,  58  )
( -65 ,  8 ,  57  )
( -66 ,  9 ,  57  )
( -65 ,  9 ,  56  )
( -66 ,  10 ,  56  )
( -66 ,  11 ,  55  )
( -66 ,  10 ,  56  )
( -67 ,  11 ,  56  )
( -67 ,  12 ,  55  )
( -67 ,  13 ,  54  )
( -68 ,  14 ,  54  )
( -67 ,  14 ,  53  )
( -66 ,  13 ,  53  )
( -67 ,  14 ,  53  )
( -68 ,  15 ,  53  )
( -68 ,  16 ,  52  )
( -67 ,  16 ,  51  )
( -68 ,  17 ,  51  )
( -68 ,  18 ,  50  )
( -68 ,  19 ,  49  )
( -69 ,  20 ,  49  )
( -69 ,  21 ,  48  )
( -70 ,  22 ,  48  )
( -69 ,  21 ,  48  )
( -69 ,  22 ,  47  )
( -70 ,  23 ,  47  )
( -70 ,  24 ,  46  )
( -70 ,  25 ,  45  )
( -71 ,  26 ,  45  )
( -70 ,  26 ,  44  )
( -70 ,  27 ,  43  )
( -69 ,  26 ,  43  )
( -70 ,  27 ,  43  )
( -71 ,  27 ,  44  )
( -71 ,  28 ,  43  )
( -72 ,  28 ,  44  )
( -73 ,  29 ,  44  )
( -73 ,  30 ,  43  )
( -73 ,  31 ,  42  )
( -73 ,  32 ,  41  )
( -73 ,  33 ,  40  )
( -73 ,  34 ,  39  )
( -73 ,  35 ,  38  )
( -74 ,  36 ,  38  )
( -74 ,  37 ,  37  )
( -74 ,  38 ,  36  )
( -74 ,  39 ,  35  )
( -74 ,  40 ,  34  )
( -74 ,  41 ,  33  )
( -74 ,  42 ,  32  )
( -74 ,  41 ,  33  )
( -74 ,  42 ,  32  )
( -75 ,  43 ,  32  )
( -75 ,  44 ,  31  )
( -74 ,  44 ,  30  )
( -74 ,  43 ,  31  )
( -73 ,  43 ,  30  )
( -74 ,  44 ,  30  )
( -74 ,  45 ,  29  )
( -74 ,  46 ,  28  )
( -75 ,  47 ,  28  )
( -75 ,  48 ,  27  )
( -75 ,  49 ,  26  )
( -75 ,  50 ,  25  )
( -74 ,  49 ,  25  )
( -74 ,  50 ,  24  )
( -74 ,  49 ,  25  )
( -74 ,  50 ,  24  )
( -74 ,  51 ,  23  )
( -74 ,  52 ,  22  )
( -74 ,  53 ,  21  )
( -74 ,  54 ,  20  )
( -74 ,  55 ,  19  )
( -74 ,  56 ,  18  )
( -74 ,  57 ,  17  )
( -74 ,  58 ,  16  )
( -74 ,  59 ,  15  )
( -74 ,  60 ,  14  )
( -74 ,  59 ,  15  )
( -74 ,  60 ,  14  )
( -74 ,  61 ,  13  )
( -74 ,  62 ,  12  )
( -74 ,  63 ,  11  )
( -74 ,  64 ,  10  )
( -74 ,  65 ,  9  )
( -73 ,  65 ,  8  )
( -72 ,  65 ,  7  )
( -72 ,  66 ,  6  )
( -73 ,  66 ,  7  )
( -73 ,  67 ,  6  )
( -73 ,  68 ,  5  )
( -73 ,  69 ,  4  )
( -73 ,  70 ,  3  )
( -73 ,  71 ,  2  )
( -73 ,  72 ,  1  )
( -73 ,  73 ,  0  )
( -73 ,  74 ,  -1  )
( -73 ,  75 ,  -2  )
( -72 ,  75 ,  -3  )
( -71 ,  75 ,  -4  )
( -71 ,  76 ,  -5  )
( -71 ,  77 ,  -6  )
( -70 ,  77 ,  -7  )
( -70 ,  78 ,  -8  )
( -70 ,  79 ,  -9  )
( -70 ,  80 ,  -10  )
( -69 ,  80 ,  -11  )
( -69 ,  81 ,  -12  )
( -69 ,  82 ,  -13  )
( -68 ,  82 ,  -14  )
( -67 ,  82 ,  -15  )
( -67 ,  81 ,  -14  )
( -66 ,  80 ,  -14  )
( -66 ,  81 ,  -15  )
( -66 ,  80 ,  -14  )
( -66 ,  81 ,  -15  )
( -66 ,  82 ,  -16  )
( -66 ,  81 ,  -15  )
( -65 ,  81 ,  -16  )
( -65 ,  82 ,  -17  )
( -65 ,  83 ,  -18  )
( -64 ,  83 ,  -19  )
( -64 ,  82 ,  -18  )
( -64 ,  83 ,  -19  )
( -63 ,  83 ,  -20  )
( -63 ,  84 ,  -21  )
( -63 ,  85 ,  -22  )
( -62 ,  85 ,  -23  )
( -62 ,  86 ,  -24  )
( -62 ,  87 ,  -25  )
( -62 ,  88 ,  -26  )
( -62 ,  89 ,  -27  )
( -62 ,  90 ,  -28  )
( -61 ,  90 ,  -29  )
( -61 ,  91 ,  -30  )
( -61 ,  92 ,  -31  )
( -60 ,  92 ,  -32  )
( -60 ,  93 ,  -33  )
( -59 ,  93 ,  -34  )
( -59 ,  94 ,  -35  )
( -58 ,  94 ,  -36  )
( -57 ,  94 ,  -37  )
( -56 ,  94 ,  -38  )
( -55 ,  93 ,  -38  )
( -55 ,  94 ,  -39  )
( -54 ,  94 ,  -40  )
( -54 ,  95 ,  -41  )
( -54 ,  96 ,  -42  )
( -53 ,  96 ,  -43  )
( -53 ,  97 ,  -44  )
( -52 ,  97 ,  -45  )
( -53 ,  97 ,  -44  )
( -53 ,  98 ,  -45  )
( -53 ,  99 ,  -46  )
( -53 ,  100 ,  -47  )
( -52 ,  100 ,  -48  )
( -52 ,  101 ,  -49  )
( -51 ,  101 ,  -50  )
( -51 ,  102 ,  -51  )
( -50 ,  102 ,  -52  )
( -49 ,  102 ,  -53  )
( -50 ,  103 ,  -53  )
( -49 ,  103 ,  -54  )
( -48 ,  103 ,  -55  )
( -47 ,  103 ,  -56  )
( -47 ,  104 ,  -57  )
( -46 ,  104 ,  -58  )
( -45 ,  104 ,  -59  )
( -44 ,  104 ,  -60  )
( -43 ,  104 ,  -61  )
( -42 ,  104 ,  -62  )
( -42 ,  105 ,  -63  )
( -41 ,  105 ,  -64  )
( -41 ,  106 ,  -65  )
( -40 ,  106 ,  -66  )
( -39 ,  106 ,  -67  )
( -38 ,  106 ,  -68  )
( -38 ,  107 ,  -69  )
( -37 ,  107 ,  -70  )
( -37 ,  108 ,  -71  )
( -37 ,  107 ,  -70  )
( -36 ,  107 ,  -71  )
( -36 ,  108 ,  -72  )
( -37 ,  109 ,  -72  )
( -36 ,  109 ,  -73  )
( -35 ,  109 ,  -74  )
( -34 ,  109 ,  -75  )
( -34 ,  110 ,  -76  )
( -33 ,  110 ,  -77  )
( -32 ,  110 ,  -78  )
( -32 ,  111 ,  -79  )
( -32 ,  110 ,  -78  )
( -31 ,  110 ,  -79  )
( -30 ,  110 ,  -80  )
( -31 ,  111 ,  -80  )
( -30 ,  111 ,  -81  )
( -30 ,  112 ,  -82  )
( -29 ,  112 ,  -83  )
( -28 ,  112 ,  -84  )
( -27 ,  112 ,  -85  )
( -27 ,  113 ,  -86  )
( -26 ,  113 ,  -87  )
( -25 ,  113 ,  -88  )
( -24 ,  112 ,  -88  )
( -23 ,  112 ,  -89  )
( -22 ,  112 ,  -90  )
( -21 ,  112 ,  -91  )
( -20 ,  112 ,  -92  )
( -19 ,  112 ,  -93  )
( -18 ,  112 ,  -94  )
( -17 ,  112 ,  -95  )
( -16 ,  112 ,  -96  )
( -15 ,  112 ,  -97  )
( -14 ,  112 ,  -98  )
( -13 ,  112 ,  -99  )
( -13 ,  113 ,  -100  )
( -14 ,  113 ,  -99  )
( -13 ,  113 ,  -100  )
( -12 ,  113 ,  -101  )
( -11 ,  113 ,  -102  )
( -10 ,  113 ,  -103  )
( -9 ,  113 ,  -104  )
( -8 ,  113 ,  -105  )
( -7 ,  113 ,  -106  )
( -6 ,  113 ,  -107  )
( -5 ,  113 ,  -108  )
( -4 ,  113 ,  -109  )
( -3 ,  113 ,  -110  )
( -2 ,  113 ,  -111  )
( -1 ,  113 ,  -112  )
( -1 ,  114 ,  -113  )
( 0 ,  114 ,  -114  )
( 1 ,  114 ,  -115  )
( 1 ,  115 ,  -116  )
( 2 ,  115 ,  -117  )
( 3 ,  115 ,  -118  )
( 4 ,  115 ,  -119  )
( 5 ,  114 ,  -119  )
( 6 ,  114 ,  -120  )
( 7 ,  114 ,  -121  )
( 7 ,  115 ,  -122  )
( 6 ,  115 ,  -121  )
( 7 ,  115 ,  -122  )
( 8 ,  114 ,  -122  )
( 9 ,  114 ,  -123  )
( 10 ,  114 ,  -124  )
( 9 ,  115 ,  -124  )
( 10 ,  115 ,  -125  )
( 9 ,  116 ,  -125  )
( 10 ,  116 ,  -126  )
( 11 ,  116 ,  -127  )
( 12 ,  116 ,  -128  )
( 13 ,  116 ,  -129  )
( 12 ,  116 ,  -128  )
( 13 ,  115 ,  -128  )
( 14 ,  115 ,  -129  )
( 15 ,  115 ,  -130  )
( 16 ,  115 ,  -131  )
( 17 ,  115 ,  -132  )
( 18 ,  114 ,  -132  )
( 19 ,  113 ,  -132  )
( 20 ,  112 ,  -132  )
( 20 ,  111 ,  -131  )
( 21 ,  111 ,  -132  )
( 22 ,  111 ,  -133  )
( 23 ,  110 ,  -133  )
( 24 ,  110 ,  -134  )
( 25 ,  110 ,  -135  )
( 26 ,  110 ,  -136  )
( 27 ,  109 ,  -136  )
( 28 ,  108 ,  -136  )
( 29 ,  107 ,  -136  )
( 28 ,  108 ,  -136  )
( 29 ,  107 ,  -136  )
( 30 ,  107 ,  -137  )
( 31 ,  107 ,  -138  )
( 32 ,  107 ,  -139  )
( 33 ,  106 ,  -139  )
( 34 ,  106 ,  -140  )
( 35 ,  106 ,  -141  )
( 34 ,  106 ,  -140  )
( 33 ,  107 ,  -140  )
( 34 ,  107 ,  -141  )
( 35 ,  107 ,  -142  )
( 36 ,  106 ,  -142  )
( 37 ,  106 ,  -143  )
( 38 ,  106 ,  -144  )
( 39 ,  106 ,  -145  )
( 40 ,  106 ,  -146  )
( 41 ,  105 ,  -146  )
( 42 ,  105 ,  -147  )
( 43 ,  105 ,  -148  )
( 42 ,  105 ,  -147  )
( 41 ,  105 ,  -146  )
( 42 ,  104 ,  -146  )
( 43 ,  104 ,  -147  )
( 44 ,  104 ,  -148  )
( 45 ,  104 ,  -149  )
( 46 ,  104 ,  -150  )
( 47 ,  104 ,  -151  )
( 47 ,  105 ,  -152  )
( 48 ,  104 ,  -152  )
( 49 ,  103 ,  -152  )
( 50 ,  103 ,  -153  )
( 51 ,  103 ,  -154  )
( 52 ,  103 ,  -155  )
( 53 ,  102 ,  -155  )
( 54 ,  102 ,  -156  )
( 55 ,  101 ,  -156  )
( 56 ,  101 ,  -157  )
( 57 ,  101 ,  -158  )
( 58 ,  100 ,  -158  )
( 59 ,  100 ,  -159  )
( 60 ,  100 ,  -160  )
( 61 ,  100 ,  -161  )
( 61 ,  99 ,  -160  )
( 62 ,  99 ,  -161  )
( 63 ,  99 ,  -162  )
( 64 ,  99 ,  -163  )
( 65 ,  99 ,  -164  )
( 66 ,  99 ,  -165  )
( 67 ,  99 ,  -166  )
( 68 ,  98 ,  -166  )
( 69 ,  97 ,  -166  )
( 69 ,  96 ,  -165  )
( 70 ,  95 ,  -165  )
( 71 ,  94 ,  -165  )
( 72 ,  93 ,  -165  )
( 73 ,  92 ,  -165  )
( 74 ,  91 ,  -165  )
( 75 ,  90 ,  -165  )
( 76 ,  89 ,  -165  )
( 76 ,  88 ,  -164  )
( 77 ,  88 ,  -165  )
( 78 ,  87 ,  -165  )
( 79 ,  86 ,  -165  )
( 80 ,  85 ,  -165  )
( 81 ,  85 ,  -166  )
( 82 ,  85 ,  -167  )
( 83 ,  85 ,  -168  )
( 84 ,  85 ,  -169  )
( 85 ,  84 ,  -169  )
( 86 ,  83 ,  -169  )
( 85 ,  84 ,  -169  )
( 86 ,  83 ,  -169  )
( 85 ,  83 ,  -168  )
( 86 ,  83 ,  -169  )
( 87 ,  82 ,  -169  )
( 88 ,  81 ,  -169  )
( 89 ,  81 ,  -170  )
( 90 ,  81 ,  -171  )
( 91 ,  80 ,  -171  )
( 92 ,  79 ,  -171  )
( 93 ,  79 ,  -172  )
( 94 ,  78 ,  -172  )
( 95 ,  77 ,  -172  )
( 96 ,  76 ,  -172  )
( 96 ,  77 ,  -173  )
( 97 ,  77 ,  -174  )
( 97 ,  78 ,  -175  )
( 96 ,  78 ,  -174  )
( 95 ,  79 ,  -174  )
( 96 ,  78 ,  -174  )
( 97 ,  77 ,  -174  )
( 98 ,  76 ,  -174  )
( 99 ,  76 ,  -175  )
( 99 ,  75 ,  -174  )
( 100 ,  74 ,  -174  )
( 101 ,  73 ,  -174  )
( 102 ,  72 ,  -174  )
( 103 ,  72 ,  -175  )
( 104 ,  71 ,  -175  )
( 105 ,  70 ,  -175  )
( 106 ,  69 ,  -175  )
( 107 ,  68 ,  -175  )
( 108 ,  67 ,  -175  )
( 109 ,  66 ,  -175  )
( 110 ,  65 ,  -175  )
( 111 ,  64 ,  -175  )
( 112 ,  63 ,  -175  )
( 112 ,  64 ,  -176  )
( 113 ,  63 ,  -176  )
( 114 ,  62 ,  -176  )
( 115 ,  61 ,  -176  )
( 116 ,  61 ,  -177  )
( 117 ,  60 ,  -177  )
( 118 ,  59 ,  -177  )
( 119 ,  58 ,  -177  )
( 120 ,  57 ,  -177  )
( 121 ,  56 ,  -177  )
( 120 ,  57 ,  -177  )
( 120 ,  58 ,  -178  )
( 120 ,  57 ,  -177  )
( 121 ,  57 ,  -178  )
( 122 ,  56 ,  -178  )
( 123 ,  56 ,  -179  )
( 124 ,  55 ,  -179  )
( 125 ,  54 ,  -179  )
( 124 ,  54 ,  -178  )
( 125 ,  53 ,  -178  )
( 125 ,  52 ,  -177  )
( 126 ,  51 ,  -177  )
( 127 ,  50 ,  -177  )
( 128 ,  49 ,  -177  )
( 129 ,  48 ,  -177  )
( 130 ,  48 ,  -178  )
( 131 ,  48 ,  -179  )
( 132 ,  47 ,  -179  )
( 133 ,  46 ,  -179  )
( 133 ,  47 ,  -180  )
( 134 ,  46 ,  -180  )
( 135 ,  45 ,  -180  )
( 136 ,  44 ,  -180  )
( 137 ,  43 ,  -180  )
( 138 ,  43 ,  -181  )
( 139 ,  42 ,  -181  )
( 140 ,  41 ,  -181  )
( 141 ,  41 ,  -182  )
( 141 ,  42 ,  -183  )
( 142 ,  41 ,  -183  )
( 143 ,  40 ,  -183  )
( 144 ,  39 ,  -183  )
( 145 ,  38 ,  -183  )
( 146 ,  37 ,  -183  )
( 145 ,  37 ,  -182  )
( 146 ,  36 ,  -182  )
( 147 ,  35 ,  -182  )
( 148 ,  35 ,  -183  )
( 149 ,  34 ,  -183  )
( 149 ,  33 ,  -182  )
( 148 ,  34 ,  -182  )
( 147 ,  35 ,  -182  )
( 148 ,  34 ,  -182  )
( 149 ,  33 ,  -182  )
( 150 ,  32 ,  -182  )
( 150 ,  33 ,  -183  )
( 151 ,  32 ,  -183  )
( 152 ,  31 ,  -183  )
( 153 ,  30 ,  -183  )
( 154 ,  29 ,  -183  )
( 155 ,  28 ,  -183  )
( 156 ,  27 ,  -183  )
( 157 ,  26 ,  -183  )
( 158 ,  25 ,  -183  )
( 159 ,  24 ,  -183  )
( 159 ,  23 ,  -182  )
( 160 ,  22 ,  -182  )
( 161 ,  21 ,  -182  )
( 160 ,  21 ,  -181  )
( 160 ,  20 ,  -180  )
( 161 ,  19 ,  -180  )
( 162 ,  18 ,  -180  )
( 163 ,  17 ,  -180  )
( 163 ,  16 ,  -179  )
( 164 ,  15 ,  -179  )
( 165 ,  14 ,  -179  )
( 166 ,  13 ,  -179  )
( 166 ,  12 ,  -178  )
( 167 ,  11 ,  -178  )
( 168 ,  10 ,  -178  )
( 169 ,  9 ,  -178  )
( 170 ,  8 ,  -178  )
( 169 ,  9 ,  -178  )
( 170 ,  8 ,  -178  )
( 171 ,  7 ,  -178  )
( 172 ,  6 ,  -178  )
( 173 ,  5 ,  -178  )
( 174 ,  4 ,  -178  )
( 175 ,  3 ,  -178  )
( 175 ,  2 ,  -177  )
( 174 ,  2 ,  -176  )
( 175 ,  1 ,  -176  )
( 175 ,  0 ,  -175  )
( 175 ,  -1 ,  -174  )
( 176 ,  -2 ,  -174  )
( 177 ,  -3 ,  -174  )
( 176 ,  -2 ,  -174  )
( 176 ,  -3 ,  -173  )
( 177 ,  -4 ,  -173  )
( 178 ,  -5 ,  -173  )
( 179 ,  -6 ,  -173  )
( 180 ,  -7 ,  -173  )
( 181 ,  -7 ,  -174  )
( 181 ,  -8 ,  -173  )
( 181 ,  -7 ,  -174  )
( 181 ,  -6 ,  -175  )
( 182 ,  -7 ,  -175  )
( 183 ,  -7 ,  -176  )
( 183 ,  -8 ,  -175  )
( 184 ,  -9 ,  -175  )
( 184 ,  -10 ,  -174  )
( 184 ,  -9 ,  -175  )
( 183 ,  -8 ,  -175  )
( 183 ,  -9 ,  -174  )
( 183 ,  -10 ,  -173  )
( 183 ,  -11 ,  -172  )
( 183 ,  -10 ,  -173  )
( 184 ,  -11 ,  -173  )
( 185 ,  -12 ,  -173  )
( 185 ,  -13 ,  -172  )
( 186 ,  -13 ,  -173  )
( 185 ,  -13 ,  -172  )
( 186 ,  -14 ,  -172  )
( 187 ,  -15 ,  -172  )
( 188 ,  -16 ,  -172  )
( 189 ,  -16 ,  -173  )
( 188 ,  -16 ,  -172  )
( 189 ,  -17 ,  -172  )
( 189 ,  -18 ,  -171  )
( 188 ,  -18 ,  -170  )
( 188 ,  -17 ,  -171  )
( 188 ,  -18 ,  -170  )
( 189 ,  -19 ,  -170  )
( 190 ,  -20 ,  -170  )
( 190 ,  -21 ,  -169  )
( 190 ,  -22 ,  -168  )
( 191 ,  -23 ,  -168  )
( 192 ,  -24 ,  -168  )
( 193 ,  -24 ,  -169  )
( 193 ,  -23 ,  -170  )
( 194 ,  -24 ,  -170  )
( 195 ,  -25 ,  -170  )
( 195 ,  -26 ,  -169  )
( 194 ,  -26 ,  -168  )
( 194 ,  -27 ,  -167  )
( 195 ,  -28 ,  -167  )
( 196 ,  -29 ,  -167  )
( 197 ,  -30 ,  -167  )
( 198 ,  -31 ,  -167  )
( 198 ,  -30 ,  -168  )
( 199 ,  -31 ,  -168  )
( 199 ,  -32 ,  -167  )
( 199 ,  -33 ,  -166  )
( 200 ,  -34 ,  -166  )
( 200 ,  -35 ,  -165  )
( 201 ,  -36 ,  -165  )
( 202 ,  -37 ,  -165  )
( 203 ,  -38 ,  -165  )
( 204 ,  -39 ,  -165  )
( 204 ,  -40 ,  -164  )
( 204 ,  -41 ,  -163  )
( 205 ,  -42 ,  -163  )
( 205 ,  -43 ,  -162  )
( 206 ,  -44 ,  -162  )
( 207 ,  -45 ,  -162  )
( 208 ,  -46 ,  -162  )
( 208 ,  -47 ,  -161  )
( 209 ,  -48 ,  -161  )
( 210 ,  -49 ,  -161  )
( 211 ,  -50 ,  -161  )
( 211 ,  -51 ,  -160  )
( 211 ,  -52 ,  -159  )
( 210 ,  -52 ,  -158  )
( 210 ,  -53 ,  -157  )
( 210 ,  -54 ,  -156  )
( 210 ,  -53 ,  -157  )
( 211 ,  -54 ,  -157  )
( 212 ,  -54 ,  -158  )
( 212 ,  -55 ,  -157  )
( 212 ,  -56 ,  -156  )
( 213 ,  -57 ,  -156  )
( 213 ,  -58 ,  -155  )
( 213 ,  -59 ,  -154  )
( 214 ,  -60 ,  -154  )
( 215 ,  -61 ,  -154  )
( 215 ,  -62 ,  -153  )
( 216 ,  -63 ,  -153  )
( 217 ,  -64 ,  -153  )
( 218 ,  -65 ,  -153  )
( 217 ,  -64 ,  -153  )
( 218 ,  -65 ,  -153  )
( 219 ,  -66 ,  -153  )
